Controller,Kc,Ti,Td,OvershootValue,PeakTime_s,SettlingTime_s,DecayRatio,SteadyStateError,Score,MeetsAll
PID,3.5,0.75,1.4,0.0264709835249368,4.64,5.50246535107235,5.04870517772795,0,0.95129482227205,0
PID,4.25,0.75,1.3,0.0227837673273719,4.42,4.97793359391307,5.0475387972021,0,0.952461202797897,0
PID,2.25,1,1.4,0.0208519277432118,5.96,6.34016809314143,9.92991468117477,0,0.96,0
PID,3.25,0.75,1.45,0.0280299141114937,4.74,5.70910648402699,5.03696393488013,0,0.963036065119872,0
PID,11.25,0.5,0.05,0.195203056742592,0.32,0.948059731860282,5.02283999427679,0,0.977160005723207,0
PID,2.5,1,1.5,0.0228590872029901,5.99,6.71776733117343,8.20640468377036,0,0.99,0
PID,2.75,1,1.55,0.023480443072865,5.99,6.79214205566232,7.33622207440214,0,0.99,0
PI,8,0.5,NaN,0.399171426920306,0.38,1.68099734790484,8.92050420538821,0,0.991714269203064,0
PID,1.25,0.75,1.9,0.0372028919860796,6,7.62685626653607,7.61829500581646,0,1,0
PID,3,1,1.6,0.0238072559689173,6,6.8467452175221,6.68116489051451,0,1,0
PID,1.25,0.5,1.7,0.0528997942243787,4.4,5.8992313424265,4.99492573592551,0,1.00507426407449,0
PID,5,0.75,1.25,0.0201673161132416,4.3,4.42776141451091,4.98767614806293,0,1.01232385193707,0
PID,2.25,1,1.45,0.021823369407475,6.02,6.59750986840613,9.4216784094794,0,1.02,0
